,name0,average,usersrated,weight,minplayers,maxplayers,playingtime,yearpublished
920,1889: History of Shikoku Railways,8.091,963,3.982,2,6,210,2004
82891,Agricola: Bosques y Cenagales,8.09,5493,3.542,1,5,200,2009
82885,Heroscape Expansion Set: Road to the Forgotten Forest,8.089,503,2.353,2,4,60,2005
618,Combat Commander: Pacific,8.089,1410,3.225,2,2,180,2008
29,Le Case della Follia: Seconda Edizione,8.088,22080,2.691,1,5,180,2016
82874,(é??æ²³ç«¶é?? é??çµ?é¢¨æ?´),8.088,9377,2.984,1,5,60,2008
82869,Star Wars X-Wing: El juego de miniaturas â?? TIE Fantasma â?? Pack de Expansi?³n,8.087,758,2.6,2,2,20,2014
24,Orlean,8.084,19799,3.051,2,4,90,2014
47,Anachrony,8.083,9875,3.979,1,4,120,2017
82829,Galaxy Trucker: Another Big Expansion,8.083,977,2.975,2,5,90,2012
82826,Mage Knight Board Game: Krang Character Expansion,8.082,1521,3.807,1,5,90,2013
82825,Legendary: A Marvel Deck Building Game â?? Secret Wars  Volume 2,8.082,1090,2.615,1,5,60,2015
1277,Infinity,8.08,783,3.865,2,2,60,2005
82817,Cyclades: Titans,8.08,1659,3.125,2,6,90,2014
152,Barrage,8.08,3832,3.977,1,4,120,2019
82814,Concordia: Britannia / Germania,8.08,1318,3.038,2,5,100,2014
82810,Pandemia: Al L?­mite,8.078,15530,2.649,2,5,45,2009
82796,L'age de Pierre: 10eme anniversaire,8.076,1066,2.367,2,4,90,2018
33,Root,8.075,18106,3.621,2,4,90,2018
532,Arcadia Quest: Inferno,8.075,1777,2.294,2,4,120,2017
136,De Crew,8.073,4144,2.083,2,5,20,2019
82781,Claustrophobia: De Profundis,8.073,688,2.526,2,2,45,2011
82780,Kemet: Ta-Seti,8.073,1117,3.139,2,5,90,2015
37,Mechs vs. Minions,8.071,13046,2.414,2,4,90,2016
82756,Hansa Teutonica: Die Ost Erweiterung,8.071,832,3.167,3,5,75,2010
82755,Carson City: Big Box,8.071,1484,3.172,2,6,180,2015
82754,Summoner Wars: Aberra?§?µes,8.071,695,2.524,2,4,30,2012
1268,Star Wars L?©gion,8.07,932,3.375,2,2,120,2018
322,Sword & Sorcery,8.07,3165,4.006,1,5,90,2017
510,Pax Renaissance,8.069,1732,4.35,2,4,120,2016
149,Sekigahara: The Unification of Japan,8.066,4011,2.767,2,2,180,2011
82714,Sentinels of the Multiverse: Rook City & Infernal Relics,8.065,864,2.679,2,5,30,2013
82689,Zombicide: Black Plague â?? Wulfsburg,8.062,1768,2.524,1,6,60,2016
388,Glen More II: Chronicles,8.062,2104,3.078,2,4,120,2019
82687,Felkel?? Nap: Hatalmas Kamik,8.062,1020,3.556,3,5,120,2018
82675,Android: Netrunner â?? A Study in Static,8.06,729,3.176,2,2,45,2013
1818,Comancher?­a: The Rise and Fall of the Comanche Empire,8.059,519,4.106,1,1,360,2016
455,Star Realms: Fronti?¨res,8.059,1991,1.949,1,4,45,2018
485,Shadows of Brimstone: Swamps of Death,8.059,2102,3.378,1,4,180,2014
41,Divukraj,8.058,13344,2.807,1,4,80,2018
70,Agr?­cola (nueva edici?³n),8.058,7679,3.521,1,4,120,2016
82648,Naje?ºd?ºcy z P?³??nocy: Pola chwa??y,8.056,1475,2.828,2,5,80,2018
115,Endeavor:  Le rotte dell'Impero,8.055,5188,2.8,2,5,90,2018
82630,Age of Steam Expansion #1: England & Ireland,8.054,526,3.913,3,6,180,2003
1062,Obsession,8.054,1009,3.264,1,4,90,2018
620,Elisabeth I.: Die Religionskriege 1559-1598,8.053,1508,4.4,2,6,420,2012
139,Paths of Glory,8.052,4345,3.832,2,2,480,1999
1477,Warhammer Quest: Blackstone Fortress,8.052,816,2.963,1,5,180,2018
1983,Monumental,8.052,605,2.667,1,4,120,2020
427,Fire in the Lake,8.051,2028,4.043,1,4,180,2014
82619,Dominion: Hijs de Zeilen,8.051,14003,2.498,2,4,30,2009
2004,Silent Victory: U.S. Submarines in the Pacific  1941-45,8.051,530,2.897,1,2,180,2016
82577,Star Wars X-Wing: El juego de miniaturas â?? Ases Rebeldes â?? Pack de Expansi?³n,8.047,742,2.471,2,2,30,2014
942,Thunderbolt Apache Leader,8.046,1056,3.171,1,1,90,2012
82557,Star Wars X-Wing: El juego de miniaturas â?? Los M?¡s Buscados â?? Pack de Expansi?³n,8.045,505,2.125,2,2,0,2014
82553,Five Tribes: Die Launen des Sultans,8.043,887,3.222,2,5,90,2017
82550,Cosmic Encounter: Cosmic Alliance,8.043,1467,2.865,3,8,60,2012
1248,City of Angels,8.043,779,2.478,1,5,150,2019
